RPC_CM_DROP_APP,DropApp,ConfigurationDropAppRequest,ConfigurationDropAppResponse
RPC_CM_CREATE_APP,CreateApp,ConfigurationCreateAppRequest,ConfigurationCreateAppResponse
RPC_CM_RECALL_APP,RecallApp,ConfigurationRecallAppRequest,ConfigurationRecallAppResponse
RPC_CM_LIST_APPS,ListApps,ConfigurationListAppsRequest,ConfigurationListAppsResponse
RPC_CM_QUERY_DUPLICATION,QueryDuplication,DuplicationQueryRequest,DuplicationQueryResponse
RPC_CM_MODIFY_DUPLICATION,ModifyDuplication,DuplicationModifyRequest,DuplicationModifyResponse
RPC_CM_ADD_DUPLICATION,AddDuplication,DuplicationAddRequest,DuplicationAddResponse
RPC_QUERY_APP_INFO,QueryAppInfo,QueryAppInfoRequest,QueryAppInfoResponse
RPC_CM_UPDATE_APP_ENV,UpdateAppEnv,ConfigurationUpdateAppEnvRequest,ConfigurationUpdateAppEnvResponse
RPC_CM_LIST_NODES,ListNodes,ConfigurationListNodesRequest,ConfigurationListNodesResponse
RPC_CM_CLUSTER_INFO,QueryClusterInfo,ConfigurationClusterInfoRequest,ConfigurationClusterInfoResponse
RPC_CM_CONTROL_META,MetaControl,ConfigurationMetaControlRequest,ConfigurationMetaControlResponse
RPC_CM_QUERY_BACKUP_POLICY,QueryBackupPolicy,ConfigurationQueryBackupPolicyRequest,ConfigurationQueryBackupPolicyResponse
RPC_CM_PROPOSE_BALANCER,Balance,ConfigurationBalancerRequest,ConfigurationBalancerResponse
RPC_CM_START_BACKUP_APP,StartBackupApp,StartBackupAppRequest,StartBackupAppResponse
RPC_CM_QUERY_BACKUP_STATUS,QueryBackupStatus,QueryBackupStatusRequest,QueryBackupStatusResponse
RPC_CM_START_RESTORE,RestoreApp,ConfigurationRestoreRequest,ConfigurationCreateAppResponse
RPC_CM_START_PARTITION_SPLIT,StartPartitionSplit,StartPartitionSplitRequest,StartPartitionSplitResponse
RPC_CM_QUERY_PARTITION_SPLIT,QuerySplitStatus,QuerySplitRequest,QuerySplitResponse
RPC_CM_CONTROL_PARTITION_SPLIT,ControlPartitionSplit,ControlSplitRequest,ControlSplitResponse
RPC_CM_START_BULK_LOAD,StartBulkLoad,StartBulkLoadRequest,StartBulkLoadResponse
RPC_CM_QUERY_BULK_LOAD_STATUS,QueryBulkLoadStatus,QueryBulkLoadRequest,QueryBulkLoadResponse
RPC_CM_CONTROL_BULK_LOAD,ControlBulkLoad,ControlBulkLoadRequest,ControlBulkLoadResponse
RPC_CM_CLEAR_BULK_LOAD,ClearBulkLoad,ClearBulkLoadStateRequest,ClearBulkLoadStateResponse
RPC_CM_START_MANUAL_COMPACT,StartManualCompact,StartAppManualCompactRequest,StartAppManualCompactResponse
RPC_CM_QUERY_MANUAL_COMPACT_STATUS,QueryManualCompact,QueryAppManualCompactRequest,QueryAppManualCompactResponse
